product_id,product_name,category_id,description,price
54,Basic Essentials 54,1356,Quality product in category 1356. Durable design for everyday use. Popular choice among customers.,188.56
55,Smart Tool 55,104,Quality product in category 104. Durable design for everyday use. Popular choice among customers.,146.34
56,Elite Essentials 56,800,Quality product in category 800. Durable design for everyday use. Popular choice among customers.,239.0
57,Max Kit 57,1303,Quality product in category 1303. Durable design for everyday use. Popular choice among customers.,56.88
58,Mini Gadget 58,192,Quality product in category 192. Durable design for everyday use. Popular choice among customers.,199.44
59,Classic Accessory 59,1528,Quality product in category 1528. Durable design for everyday use. Popular choice among customers.,292.68
60,Smart Gear 60,671,Quality product in category 671. Durable design for everyday use. Popular choice among customers.,67.86
61,Smart Essentials 61,152,Quality product in category 152. Durable design for everyday use. Popular choice among customers.,30.93
62,Pro Tool 62,555,Quality product in category 555. Durable design for everyday use. Popular choice among customers.,144.15
63,Classic Edition 63,1316,Quality product in category 1316. Durable design for everyday use. Popular choice among customers.,130.6
64,Elite Bundle 64,859,Quality product in category 859. Durable design for everyday use. Popular choice among customers.,192.33
65,Eco Gear 65,1099,Quality product in category 1099. Durable design for everyday use. Popular choice among customers.,21.62
66,Pro Kit 66,336,Quality product in category 336. Durable design for everyday use. Popular choice among customers.,177.81
67,Eco Unit 67,197,Quality product in category 197. Durable design for everyday use. Popular choice among customers.,220.31
68,Eco Gadget 68,1542,Quality product in category 1542. Durable design for everyday use. Popular choice among customers.,183.33
69,Eco Device 69,432,Quality product in category 432. Durable design for everyday use. Popular choice among customers.,199.94
70,Smart Kit 70,22,Quality product in category 22. Durable design for everyday use. Popular choice among customers.,92.31
71,Smart Essentials 71,383,Quality product in category 383. Durable design for everyday use. Popular choice among customers.,145.08
72,Classic Edition 72,387,Quality product in category 387. Durable design for everyday use. Popular choice among customers.,78.37
73,Prime Accessory 73,1139,Quality product in category 1139. Durable design for everyday use. Popular choice among customers.,127.53
74,Max Unit 74,815,Quality product in category 815. Durable design for everyday use. Popular choice among customers.,78.88
75,Ultra Tool 75,264,Quality product in category 264. Durable design for everyday use. Popular choice among customers.,129.77
76,Mini Essentials 76,841,Quality product in category 841. Durable design for everyday use. Popular choice among customers.,136.77
77,Mini Gear 77,744,Quality product in category 744. Durable design for everyday use. Popular choice among customers.,127.45
78,Elite Tool 78,541,Quality product in category 541. Durable design for everyday use. Popular choice among customers.,114.17
79,Ultra Tool 79,1003,Quality product in category 1003. Durable design for everyday use. Popular choice among customers.,57.41
80,Basic Pack 80,135,Quality product in category 135. Durable design for everyday use. Popular choice among customers.,125.71
81,Smart Set 81,909,Quality product in category 909. Durable design for everyday use. Popular choice among customers.,12.61
82,Pro Accessory 82,1092,Quality product in category 1092. Durable design for everyday use. Popular choice among customers.,183.62
83,Eco Essentials 83,544,Quality product in category 544. Durable design for everyday use. Popular choice among customers.,78.73
84,Prime Kit 84,1160,Quality product in category 1160. Durable design for everyday use. Popular choice among customers.,138.18
85,Prime Essentials 85,825,Quality product in category 825. Durable design for everyday use. Popular choice among customers.,107.72
86,Basic Widget 86,527,Quality product in category 527. Durable design for everyday use. Popular choice among customers.,140.33
87,Elite Item 87,766,Quality product in category 766. Durable design for everyday use. Popular choice among customers.,285.08
88,Basic Device 88,407,Quality product in category 407. Durable design for everyday use. Popular choice among customers.,58.6
89,Basic Item 89,1061,Quality product in category 1061. Durable design for everyday use. Popular choice among customers.,223.55
90,Classic Gear 90,758,Quality product in category 758. Durable design for everyday use. Popular choice among customers.,147.63
91,Pro Accessory 91,1331,Quality product in category 1331. Durable design for everyday use. Popular choice among customers.,243.63
92,Mini Gear 92,1283,Quality product in category 1283. Durable design for everyday use. Popular choice among customers.,166.56
93,Eco Gadget 93,913,Quality product in category 913. Durable design for everyday use. Popular choice among customers.,296.13
94,Basic Edition 94,1600,Quality product in category 1600. Durable design for everyday use. Popular choice among customers.,77.02
95,Prime Essentials 95,79,Quality product in category 79. Durable design for everyday use. Popular choice among customers.,195.59
96,Smart Device 96,834,Quality product in category 834. Durable design for everyday use. Popular choice among customers.,62.19
97,Classic Widget 97,981,Quality product in category 981. Durable design for everyday use. Popular choice among customers.,157.09
98,Prime Bundle 98,1454,Quality product in category 1454. Durable design for everyday use. Popular choice among customers.,296.11
99,Elite Item 99,86,Quality product in category 86. Durable design for everyday use. Popular choice among customers.,11.42
100,Ultra Pack 100,866,Quality product in category 866. Durable design for everyday use. Popular choice among customers.,195.33
